시군명,기준년월,월별신규가입자수(명),월별충전액(백만원),월별사용액(백만원)
시흥시,202405,2996,18359,19527
시흥시,202404,2384,18079,19272
시흥시,202403,3290,17840,20625
시흥시,202402,3398,24554,20456
시흥시,202401,3109,16121,17699
안산시,202604,5244,21400,22891
안산시,202603,4812,22417,26957
안산시,202602,3857,28921,27742
안산시,202601,4463,25716,27393
안산시,202512,5187,29156,28909
안산시,202511,5187,27969,27948
안산시,202510,8010,29672,27896
안산시,202509,10578,22279,22380
안산시,202508,18070,22066,19926
안산시,202507,14114,21565,17002
안산시,202506,4323,17419,17301
안산시,202505,3690,17146,17822
안산시,202504,5086,16895,17257
안산시,202503,5614,16814,17616
안산시,202502,5201,16257,15615
안산시,202501,1865,19197,15946
안산시,202412,3595,18807,15158
안산시,202411,3254,11150,12185
안산시,202410,4200,10481,13542
안산시,202409,4133,19750,13839
안산시,202408,3239,11265,12020
안산시,202407,3107,11473,12033
안산시,202406,2401,11734,11216
안산시,202405,2510,13009,12907
안산시,202404,3106,10657,12554
안산시,202403,3267,10155,13995
안산시,202402,3496,20029,14433
안산시,202401,3344,10193,13194
안성시,202604,1515,5755,6557
안성시,202603,1507,5810,7164
안성시,202602,1439,10682,7268
안성시,202601,1406,4594,5218
안성시,202512,1706,4186,5343
안성시,202511,1526,5276,7365
안성시,202510,2551,9130,7693
안성시,202509,3321,10156,6858
안성시,202508,3810,4764,5208
안성시,202507,5745,7182,5186
안성시,202506,1583,4100,4439
안성시,202505,1093,4170,5089
안성시,202504,1627,4161,5567
안성시,202503,1990,3969,6062
안성시,202502,2486,6132,6073
안성시,202501,2440,11450,6775
안성시,202412,1305,4782,5366
안성시,202411,973,4117,5112
안성시,202410,1340,3534,6626
안성시,202409,1199,8918,5797
안성시,202408,1020,4431,5066
안성시,202407,1181,4533,4761
안성시,202406,1172,4860,6557
안성시,202405,952,4149,5032
안성시,202404,1233,3966,5011
안성시,202403,1530,3741,5509
안성시,202402,1359,6405,5216
안성시,202401,1838,3608,3877
안양시,202604,3182,8901,10559
안양시,202603,3434,9542,12900
안양시,202602,2530,8927,12203
안양시,202601,3804,8467,16639
안양시,202512,5683,23771,24033
안양시,202511,5784,24882,23735
안양시,202510,6871,24510,18392
안양시,202509,8469,22309,16479
안양시,202508,17437,14471,11965
안양시,202507,3829,14706,11750
안양시,202506,3286,7809,10236
안양시,202505,3392,7434,12182
안양시,202504,5765,16369,16641
안양시,202503,6055,16996,14539
안양시,202502,6116,16943,13713
안양시,202501,4983,18547,10504
안양시,202412,3157,8246,8742
안양시,202411,3523,8050,8727
안양시,202410,4337,8027,9818
안양시,202409,4435,11439,10450
안양시,202408,3868,11537,11073
안양시,202407,3080,11539,11981
안양시,202406,2338,11742,10077
안양시,202405,2242,9358,9459
안양시,202404,2444,9543,8897
안양시,202403,2712,6861,8810
안양시,202402,3354,9741,8945
안양시,202401,3208,7328,12915
양주시,202604,1687,3086,4156
양주시,202603,1474,3200,5489
양주시,202602,1329,6272,5737
양주시,202601,1727,5441,6857
양주시,202512,1903,10988,6997
양주시,202511,1502,5850,6150
양주시,202510,1648,5082,5323
양주시,202509,2587,5004,5676
양주시,202508,3436,7745,5173
양주시,202507,5670,6010,4871
양주시,202506,1944,5896,4519
양주시,202505,1247,3806,4023
양주시,202504,1914,3819,4017
양주시,202503,1925,3816,4277
양주시,202502,1903,3342,3978
양주시,202501,2209,6456,4156
양주시,202412,1214,2242,5164
양주시,202411,1569,2615,2684
양주시,202410,2024,4717,5095
양주시,202409,1992,4916,4753
양주시,202408,1637,4583,5137
양주시,202407,1576,4732,5705
양주시,202406,1270,4890,4433
양주시,202405,1239,4728,4809
양주시,202404,1541,4102,4669
양주시,202403,1852,4041,5071
양주시,202402,2055,5522,4926
양주시,202401,1724,3715,5375
양평군,202604,973,4202,4363
양평군,202603,1023,4018,4439
양평군,202602,684,4294,4183
양평군,202601,934,4137,4113
양평군,202512,1063,4289,4458
양평군,202511,908,4255,4741
양평군,202510,1450,5194,4402
양평군,202509,1923,3754,3912
양평군,202508,2209,3446,3418
양평군,202507,3412,3570,3482
양평군,202506,929,3831,3922
양평군,202505,726,3869,4209
양평군,202504,1029,3742,4219
양평군,202503,1229,3482,4661
양평군,202502,1677,5077,4415
양평군,202501,1647,5802,3716
양평군,202412,1377,3261,4101
양평군,202411,840,3232,3082
양평군,202410,941,3051,3457
양평군,202409,1138,5125,4091
양평군,202408,817,3148,4125
양평군,202407,1060,3610,5329
양평군,202406,1071,5624,6617
양평군,202405,950,6086,6712
양평군,202404,1321,6128,5803
양평군,202403,1086,4726,4854
양평군,202402,1090,5969,5759
양평군,202401,1324,4617,6246
여주시,202604,1089,3734,4178
여주시,202603,878,3965,4283
여주시,202602,765,3585,3867
여주시,202601,974,2866,3893
여주시,202512,769,4766,4424
여주시,202511,896,4482,4401
여주시,202510,1401,4281,3855
여주시,202509,1918,6079,3572
여주시,202508,2627,2532,2621
여주시,202507,2998,3264,2777
여주시,202506,981,2809,2872
여주시,202505,872,2977,3124
여주시,202504,1310,2787,3088
여주시,202503,1739,2708,3255
여주시,202502,1020,2217,2904
여주시,202501,1110,4716,3247
여주시,202412,867,2263,3604
여주시,202411,683,2682,3191
여주시,202410,836,2082,3627
여주시,202409,925,6597,4136
여주시,202408,823,2765,3968
여주시,202407,1012,2746,5496
여주시,202406,844,2573,3071
여주시,202405,945,4663,3487
여주시,202404,1153,2728,3425
여주시,202403,1178,2449,3753
여주시,202402,955,5022,4066
여주시,202401,1198,2406,4558
연천군,202604,2616,1971,2039
연천군,202603,2903,2389,2205
연천군,202602,1572,1949,2260
연천군,202601,1600,2008,2588
연천군,202512,4226,3557,2826
연천군,202511,918,2975,2699
연천군,202510,976,2687,2185
연천군,202509,1119,2378,1838
연천군,202508,1114,1449,1433
연천군,202507,1787,1871,1627
연천군,202506,486,1670,1600
연천군,202505,487,1762,1762
연천군,202504,622,1722,1732
연천군,202503,693,1662,1735
연천군,202502,522,1510,1383
연천군,202501,606,1416,2816
연천군,202412,564,2325,1189
연천군,202411,474,1624,1207
연천군,202410,662,1580,1249
연천군,202409,424,1546,1202
연천군,202408,479,1624,1298
연천군,202407,479,1624,1292
연천군,202406,781,1341,1155
연천군,202405,584,1458,1285
연천군,202404,536,1400,1220
연천군,202403,940,1342,1143
연천군,202402,1015,1213,1017
연천군,202401,1407,1236,1035
오산시,202604,2260,7936,7933
오산시,202603,2040,8083,8783
오산시,202602,1556,6000,6733
오산시,202601,2109,6275,8914
오산시,202512,2399,10894,9851
오산시,202511,2001,8896,9550
오산시,202510,2496,7895,8186
오산시,202509,3331,7606,8169
오산시,202508,4588,7737,7339
오산시,202507,5737,13477,6248
오산시,202506,2155,4585,4653
오산시,202505,1506,5539,4833
오산시,202504,2222,4626,5470
오산시,202503,2499,4274,5505
오산시,202502,2117,3512,5542
오산시,202501,2658,9417,5080
오산시,202412,1567,5507,5324
오산시,202411,1522,4180,3879
오산시,202410,1796,4130,3945
오산시,202409,1775,6907,4214
오산시,202408,1248,4105,3336
오산시,202407,1239,4233,1585
오산시,202406,1161,4600,4182
오산시,202405,1218,5527,3989
오산시,202404,1286,3716,3650
오산시,202403,1463,3769,4045
오산시,202402,1574,5435,4882
오산시,202401,1408,3714,743
용인시,202604,7055,22079,26049
용인시,202603,7312,22641,32992
용인시,202602,5417,23788,33500
용인시,202601,7517,22920,43267
용인시,202512,8304,62888,42553
용인시,202511,7769,50810,46464
